Change,  893694,  13007
Add,  858770,  13078
Change,  943021,  15728
Change,  839224,  13081
Change,  860994,  13091
Change,  999427,  13078
Change,  884984,  13090
Add,  653649,  10417
Add,  823973,  13084
Change,  860986,  13090
Add,  500468,  11098
Add,  517506,  11092
Change,  853354,  13081
Add,  831439,  13084
Change,  794727,  13024
Change,  1033177,  13081
Change,  853488,  13078
Change,  987369,  13024
Change,  1032994,  13024
Change,  816334,  14376
Change,  1116243,  15728
Add,  893685,  13048
Change,  884879,  13090
Add,  839293,  13091
Add,  964863,  13081
Change,  794723,  12988
Change,  1009169,  13066
Change,  483778,  10418
Change,  1033180,  13081
Change,  942992,  13007
Change,  999431,  13007
Change,  1075424,  15728
Add,  867666,  15862
Change,  893583,  13073
Add,  535532,  11092
Change,  853352,  13091
Add,  1009224,  13007
Change,  893599,  13048
Delete,  498108,  10418
Change,  943026,  13079
Change,  999440,  13082
Change,  1075434,  13079
Change,  485222,  10417
Add,  492748,  10417
Change,  871454,  13077
Change,  1033191,  13078
Change,  893558,  15862
Add,  847787,  13048
Change,  1116266,  13088
Change,  1157451,  13090
Change,  884926,  13082
Change,  893661,  13091
Add,  858730,  13077
Change,  1033066,  13082
Add,  557333,  11092
Change,  893589,  13081
Change,  943037,  13077
Add,  574044,  11098
Change,  1033061,  13084
Change,  871454,  13077
Change,  823984,  13089
Change,  893565,  13088
Change,  839212,  13091
Change,  853353,  13091
Add,  574040,  11092
Change,  942998,  13084
Change,  808528,  13088
Add,  831408,  13081
Change,  808567,  13007
Change,  853469,  15728
Change,  999435,  13084
Change,  853443,  13078
Change,  1100140,  13073
Change,  800423,  13084
Change,  885033,  13082
Change,  878075,  13081
Change,  884975,  13077
Add,  498107,  10418
Change,  884895,  13081
Add,  867664,  15862
Add,  542808,  10988
Change,  800457,  13073
Change,  484974,  10418
Add,  1020273,  13077
Add,  576478,  11092
Change,  884884,  13091
Change,  884917,  13007
Add,  808558,  13078
Change,  999507,  13049
Change,  999438,  13084
Add,  550024,  11098
Change,  884854,  15728
Add,  800492,  13048
Add,  847765,  13088
Add,  953787,  14376
Change,  877961,  13091
Change,  893612,  13084
Change,  893563,  13077
Change,  800524,  13082
Change,  1044558,  13066
Change,  893648,  13077
Add,  839344,  15249
Change,  794639,  13078
Change,  999507,  13049
Add,  823924,  13077
Change,  1009169,  13066
Change,  878055,  13088
Change,  893662,  13091
Change,  1009222,  13007
Change,  884975,  13077
Change,  878088,  13078
Change,  1033024,  13088
Change,  919398,  15862
Add,  823972,  13084
Change,  942953,  13077
Change,  497910,  10418
Add,  793829,  13049
Change,  943069,  13078
Add,  878739,  13088
Change,  794661,  13084
Add,  505568,  11098
Change,  1020336,  13073
Change,  1033154,  15862
Change,  919379,  13024
Change,  794635,  13048
Change,  885033,  13082
Change,  885075,  13024
Change,  927411,  13007
Change,  1116282,  14376
Change,  893608,  13007
Change,  1100103,  21476
Change,  1044562,  13079
Change,  893705,  13082
Add,  566895,  10988
Add,  550028,  11098
Add,  893688,  13078
Change,  943071,  13007
Change,  839146,  13048
Change,  839325,  13007
Add,  794653,  13062
Change,  794647,  13007
Change,  1009227,  13084
Change,  893666,  13073
Change,  1020299,  13081
Change,  999430,  13007
Change,  1100112,  15728
Change,  831377,  13024
Change,  800264,  13066
Change,  1116264,  13088
Change,  1075492,  13082
Add,  831395,  13088
Add,  793897,  13066
Add,  831405,  13091
Change,  1185742,  15728
Change,  831415,  14376
Change,  860959,  15728
Add,  800455,  13073
Change,  800288,  13090
Change,  943079,  13084
Change,  927384,  13073
Add,  527752,  11092
Change,  987417,  13073
Change,  794666,  13082
Change,  800515,  13084
Change,  1009182,  13077
Add,  839343,  15249
Add,  1020321,  13084
Change,  1020257,  15728
Change,  1033042,  13081
Change,  794635,  13048
Change,  943030,  15862
Change,  1009208,  13081
Change,  1116288,  13078
Add,  658778,  10417
Change,  893645,  15862
Change,  884928,  13082
Change,  919436,  13048
Change,  878062,  13091
Add,  1033041,  13081
Change,  1100190,  15862
Change,  999438,  13084
Add,  658511,  10417
Change,  831445,  13082
Add,  943033,  13077
Change,  1116285,  14376
Add,  557335,  11092
Add,  593320,  10418
Add,  987536,  13082
Add,  649525,  10417
Add,  808586,  13089
Change,  884882,  13090
Add,  576484,  11098
Change,  877940,  15862
Change,  878090,  13078
Change,  794652,  13062
Add,  847762,  13088
Change,  884984,  13090
Change,  1116277,  13081
Change,  942970,  13073
Change,  861025,  13007
